Station.ID,Capacity,Station.Name,Location
220,27,"Chelsea Green, Chelsea","(51.490664,-0.166485)"
221,16,"Horseferry Road, Westminster","(51.494816,-0.130458)"
222,43,"Knightsbridge, Hyde Park","(51.502757,-0.155349)"
223,24,"Rodney Road , Walworth","(51.491484,-0.09022)"
224,16,"Whiteley's, Bayswater","(51.514769,-0.188129)"
225,30,"Notting Hill Gate Station, Notting Hill","(51.509353,-0.196422)"
226,24,"Charles II Street, West End","(51.508446,-0.131961)"
227,23,"Great Percy Street, Clerkenwell","(51.528915,-0.11548)"
228,40,"St. James's Square, St. James's","(51.507424,-0.134621)"
229,24,"Whitehall Place, Strand","(51.506543,-0.123179)"
230,31,"Poured Lines, Bankside","(51.506692,-0.103137)"
231,31,"Queen's Gate (Central), South Kensington","(51.493967,-0.178732)"
232,16,"Carey Street, Holborn","(51.51501,-0.112753)"
233,22,"Pall Mall East, West End","(51.50777,-0.130699)"
234,24,"Liverpool Road (N1 Centre), Angel","(51.534504,-0.106992)"
235,36,"Kennington Road  , Vauxhall","(51.495718,-0.110889)"
236,30,"Fashion Street, Whitechapel","(51.51838,-0.073438)"
237,30,"Dock Street, Wapping","(51.509786,-0.068161)"
238,32,"Frampton Street, Paddington","(51.523353,-0.175116)"
239,26,"Warren Street Station, Euston","(51.524438,-0.138019)"
240,14,"Colombo Street, Southwark","(51.505459,-0.105692)"
242,23,"Beaumont Street, Marylebone","(51.522008,-0.151359)"
243,25,"Gloucester Street, Pimlico","(51.490962,-0.139625)"
244,18,"Earnshaw Street , Covent Garden","(51.516118,-0.128585)"
245,29,"Grosvenor Road, Pimlico","(51.485357,-0.142207)"
246,41,"Berry Street, Clerkenwell","(51.522853,-0.099994)"
247,50,"St. John's Wood Church, The Regent's Park","(51.530052,-0.168314)"
248,27,"Triangle Car Park, Hyde Park","(51.506451,-0.170279)"
249,42,"Harper Road, The Borough","(51.498597,-0.096191)"
250,10,"Royal Avenue 1, Chelsea","(51.489932,-0.162727)"
251,34,"Brushfield Street, Liverpool Street","(51.518908,-0.079249)"
252,30,"Jubilee Gardens, South Bank","(51.504636,-0.116542)"
253,30,"Shoreditch Park, Hoxton","(51.534042,-0.086379)"
254,17,"Chadwell Street, Angel","(51.530515,-0.106408)"
255,22,"Clifton Road, Maida Vale","(51.525575,-0.179592)"
256,15,"Houghton Street, Strand","(51.51362,-0.116764)"
257,16,"Westminster University, Marylebone","(51.522481,-0.154907)"
258,23,"Kensington Gore, Knightsbridge","(51.501432,-0.178656)"
260,18,"Broadwick Street, Soho","(51.513684,-0.13558)"
261,15,"Princes Square, Bayswater","(51.513489,-0.191351)"
262,35,"LSBU (Borough Road), Elephant & Castle","(51.498744,-0.103132)"
263,21,"St. Mary Axe, Aldgate","(51.514225,-0.08066)"
264,20,"Tysoe Street, Clerkenwell","(51.526443,-0.109256)"
265,17,"Southwick Street, Paddington","(51.515953,-0.169249)"
266,41,"Queen's Gate (North), Kensington","(51.501026,-0.180246)"
267,22,"Regency Street, Westminster","(51.49206,-0.132224)"
268,29,"Belgrave Road, Victoria","(51.493204,-0.144132)"
269,46,"Empire Square, The Borough","(51.500823,-0.08974)"
270,31,"Kennington Lane Rail Bridge, Vauxhall","(51.486343,-0.122492)"
271,32,"London Zoo,  The Regent's Park","(51.535836,-0.156285)"
272,22,"Baylis Road, Waterloo","(51.501444,-0.110699)"
273,38,"Belvedere Road 1, South Bank","(51.506133,-0.114686)"
274,36,"Warwick Road, Olympia","(51.496712,-0.205284)"
275,19,"Barbican Centre, Barbican","(51.520044,-0.092176)"
276,24,"Lower Thames Street, Monument","(51.509301,-0.084985)"
277,17,"Kensington Church Street, Kensington","(51.503157,-0.191496)"
278,17,"Tooley Street, Bermondsey","(51.503493,-0.07962)"
279,25,"North Wharf Road, Paddington","(51.518622,-0.176645)"
280,10,"Royal Avenue 2, Chelsea","(51.490083,-0.162418)"
281,18,"Smith Square, Westminster","(51.495805,-0.127575)"
282,42,"Royal London Hospital, Whitechapel","(51.519064,-0.059642)"
283,16,"Kingsway, Covent Garden","(51.514409,-0.118478)"
284,20,"Lambeth North Station, Waterloo","(51.49914,-0.112031)"
286,35,"St. John's Wood Road, St. John's Wood","(51.527294,-0.174653)"
287,23,"Bedford Way, Bloomsbury","(51.523673,-0.128377)"
288,34,"Elizabeth Bridge, Victoria","(51.492369,-0.147478)"
289,15,"South Audley Street, Mayfair","(51.50923,-0.151296)"
290,15,"Winsland Street, Paddington","(51.51678,-0.175488)"
291,32,"Claverton Street, Pimlico","(51.484839,-0.138089)"
292,16,"Montpelier Street, Knightsbridge","(51.498884,-0.165471)"
293,25,"Kensington Olympia Station, Olympia","(51.498157,-0.209494)"
294,16,"St. George's Square, Pimlico","(51.488226,-0.135635)"
295,27,"Swan Street, The Borough","(51.500296,-0.092762)"
296,18,"Knaresborough Place, Earl's Court","(51.493631,-0.190603)"
297,17,"Geraldine Street, Elephant & Castle","(51.496127,-0.106)"
298,21,"Curlew Street, Shad Thames","(51.502279,-0.074189)"
